DEB [20241222-14:45:00.359] thr=1   paramiko.transport: starting thread (client mode): 0x9f915400
DEB [20241222-20:22:49.250] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-20:22:49.250] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-20:22:49.250] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-20:22:49.250] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20241222-20:22:49.251] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20241222-20:22:49.251] thr=1   paramiko.transport: client lang: <none>
DEB [20241222-20:22:49.251] thr=1   paramiko.transport: server lang: <none>
DEB [20241222-20:22:49.251] thr=1   paramiko.transport: kex follows: False
DEB [20241222-20:22:49.251] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20241222-20:22:49.251] thr=1   paramiko.transport: Strict kex mode: True
DEB [20241222-20:22:49.251] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20241222-20:22:49.251] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20241222-20:22:49.251] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20241222-20:22:49.251] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20241222-20:22:49.251] thr=1   paramiko.transport: Compression: none
DEB [20241222-20:22:49.251] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20241222-20:22:49.259] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20241222-20:22:49.259] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20241222-20:22:49.260] thr=1   paramiko.transport: Switch to new keys ...
DEB [20241222-20:22:49.260] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20241222-20:22:49.261] thr=2   paramiko.transport: Adding ssh-ed25519 host key for localhost: b'74eb7496e2cedf5bb043a19dcc68f534'
DEB [20241222-20:22:49.261] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com,ssh-dss,ssh-rsa,rsa-sha2-256,rsa-sha2-512', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20241222-20:22:49.562] thr=2   paramiko.transport: Trying discovered key b'921eabfd1b59d54a8f61d08725a20c03' in C:/Users/arte/.ssh/id_rsa_localhost
DEB [20241222-20:22:49.563] thr=1   paramiko.transport: userauth is OK
DEB [20241222-20:22:49.563] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20241222-20:22:49.563] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20241222-20:22:49.564] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'ssh-dss', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512']
DEB [20241222-20:22:49.564] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20241222-20:22:49.590] thr=1   paramiko.transport: Authentication (publickey) successful!
DEB [20241222-20:22:49.592] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20241222-20:22:49.636] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20241222-20:22:49.636] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20241222-20:22:49.637] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20241222-20:22:49.637] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20241222-20:22:49.644] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20241222-20:31:29.810] thr=1   paramiko.transport: starting thread (client mode): 0x748f61d0
DEB [20241222-20:31:29.811] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.5.0
DEB [20241222-20:31:29.852] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20241222-20:31:29.853] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20241222-20:31:29.895] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20241222-20:31:29.896] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20241222-20:31:29.896] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20241222-20:31:29.896] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-20:31:29.896] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-20:31:29.896] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-20:31:29.896] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-20:31:29.896] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20241222-20:31:29.896] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20241222-20:31:29.896] thr=1   paramiko.transport: client lang: <none>
DEB [20241222-20:31:29.896] thr=1   paramiko.transport: server lang: <none>
DEB [20241222-20:31:29.896] thr=1   paramiko.transport: kex follows: False
DEB [20241222-20:31:29.896] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20241222-20:31:29.896] thr=1   paramiko.transport: Strict kex mode: True
DEB [20241222-20:31:29.897] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20241222-20:31:29.897] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20241222-20:31:29.897] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20241222-20:31:29.897] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20241222-20:31:29.897] thr=1   paramiko.transport: Compression: none
DEB [20241222-20:31:29.897] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20241222-20:31:29.919] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20241222-20:31:29.919] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20241222-20:31:29.925] thr=1   paramiko.transport: Switch to new keys ...
DEB [20241222-20:31:29.926] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20241222-20:31:29.927] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com,ssh-dss,ssh-rsa,rsa-sha2-256,rsa-sha2-512', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20241222-20:31:29.928] thr=2   paramiko.transport: Adding ssh-ed25519 host key for localhost: b'74eb7496e2cedf5bb043a19dcc68f534'
DEB [20241222-20:31:30.252] thr=2   paramiko.transport: Trying discovered key b'921eabfd1b59d54a8f61d08725a20c03' in C:/Users/arte/.ssh/id_rsa_localhost
DEB [20241222-20:31:30.252] thr=1   paramiko.transport: userauth is OK
DEB [20241222-20:31:30.252] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20241222-20:31:30.252] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20241222-20:31:30.253] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'ssh-dss', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512']
DEB [20241222-20:31:30.253] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20241222-20:31:30.286] thr=1   paramiko.transport: Authentication (publickey) successful!
DEB [20241222-20:31:30.287] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20241222-20:31:30.330] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20241222-20:31:30.330] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20241222-20:31:30.330] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20241222-20:31:30.330] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20241222-20:31:30.337] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20241222-20:38:23.724] thr=1   paramiko.transport: starting thread (client mode): 0xc2ba390
DEB [20241222-20:38:23.725] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.5.0
DEB [20241222-20:38:23.764] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20241222-20:38:23.764] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20241222-20:38:23.804] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20241222-20:38:23.804] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20241222-20:38:23.804] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20241222-20:38:23.804] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-20:38:23.804] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-20:38:23.804] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-20:38:23.805] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-20:38:23.805] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20241222-20:38:23.805] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20241222-20:38:23.805] thr=1   paramiko.transport: client lang: <none>
DEB [20241222-20:38:23.805] thr=1   paramiko.transport: server lang: <none>
DEB [20241222-20:38:23.805] thr=1   paramiko.transport: kex follows: False
DEB [20241222-20:38:23.805] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20241222-20:38:23.805] thr=1   paramiko.transport: Strict kex mode: True
DEB [20241222-20:38:23.805] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20241222-20:38:23.805] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20241222-20:38:23.805] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20241222-20:38:23.805] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20241222-20:38:23.805] thr=1   paramiko.transport: Compression: none
DEB [20241222-20:38:23.805] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20241222-20:38:23.811] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20241222-20:38:23.811] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20241222-20:38:23.811] thr=1   paramiko.transport: Switch to new keys ...
DEB [20241222-20:38:23.811] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20241222-20:38:23.812] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com,ssh-dss,ssh-rsa,rsa-sha2-256,rsa-sha2-512', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20241222-20:38:23.812] thr=2   paramiko.transport: Adding ssh-ed25519 host key for localhost: b'74eb7496e2cedf5bb043a19dcc68f534'
DEB [20241222-20:38:24.134] thr=2   paramiko.transport: Trying discovered key b'921eabfd1b59d54a8f61d08725a20c03' in C:/Users/arte/.ssh/id_rsa_localhost
DEB [20241222-20:38:24.135] thr=1   paramiko.transport: userauth is OK
DEB [20241222-20:38:24.135] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20241222-20:38:24.135] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20241222-20:38:24.135] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'ssh-dss', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512']
DEB [20241222-20:38:24.135] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20241222-20:38:24.167] thr=1   paramiko.transport: Authentication (publickey) successful!
DEB [20241222-20:38:24.168] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20241222-20:38:24.213] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20241222-20:38:24.213] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20241222-20:38:24.213] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20241222-20:38:24.213] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20241222-20:38:24.220] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20241222-20:40:24.185] thr=1   paramiko.transport: starting thread (client mode): 0xa966a510
DEB [20241222-20:40:24.187] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.5.0
DEB [20241222-20:40:24.239] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20241222-20:40:24.239] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20241222-20:40:24.277] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20241222-20:40:24.277] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20241222-20:40:24.277] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20241222-20:40:24.277] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-20:40:24.277] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-20:40:24.277] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-20:40:24.277] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-20:40:24.278] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20241222-20:40:24.278] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20241222-20:40:24.278] thr=1   paramiko.transport: client lang: <none>
DEB [20241222-20:40:24.278] thr=1   paramiko.transport: server lang: <none>
DEB [20241222-20:40:24.278] thr=1   paramiko.transport: kex follows: False
DEB [20241222-20:40:24.278] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20241222-20:40:24.279] thr=1   paramiko.transport: Strict kex mode: True
DEB [20241222-20:40:24.279] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20241222-20:40:24.279] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20241222-20:40:24.279] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20241222-20:40:24.279] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20241222-20:40:24.279] thr=1   paramiko.transport: Compression: none
DEB [20241222-20:40:24.279] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20241222-20:40:24.284] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20241222-20:40:24.285] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20241222-20:40:24.285] thr=1   paramiko.transport: Switch to new keys ...
DEB [20241222-20:40:24.285] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20241222-20:40:24.285] thr=2   paramiko.transport: Adding ssh-ed25519 host key for localhost: b'74eb7496e2cedf5bb043a19dcc68f534'
DEB [20241222-20:40:24.286] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com,ssh-dss,ssh-rsa,rsa-sha2-256,rsa-sha2-512', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20241222-20:40:24.602] thr=2   paramiko.transport: Trying discovered key b'921eabfd1b59d54a8f61d08725a20c03' in C:/Users/arte/.ssh/id_rsa_localhost
DEB [20241222-20:40:24.602] thr=1   paramiko.transport: userauth is OK
DEB [20241222-20:40:24.602] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20241222-20:40:24.602] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20241222-20:40:24.602] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'ssh-dss', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512']
DEB [20241222-20:40:24.602] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20241222-20:40:24.631] thr=1   paramiko.transport: Authentication (publickey) successful!
DEB [20241222-20:40:24.632] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20241222-20:40:24.681] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20241222-20:40:24.681] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20241222-20:40:24.681] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20241222-20:40:24.681] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20241222-20:40:24.687] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20241222-20:41:56.346] thr=1   paramiko.transport: starting thread (client mode): 0x874da3d0
DEB [20241222-20:41:56.347] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.5.0
DEB [20241222-20:41:56.387] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20241222-20:41:56.387] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20241222-20:41:56.431] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20241222-20:41:56.431] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: client lang: <none>
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: server lang: <none>
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: kex follows: False
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: Strict kex mode: True
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20241222-20:41:56.432] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20241222-20:41:56.433] thr=1   paramiko.transport: Compression: none
DEB [20241222-20:41:56.433] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20241222-20:41:56.439] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20241222-20:41:56.440] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20241222-20:41:56.440] thr=1   paramiko.transport: Switch to new keys ...
DEB [20241222-20:41:56.440] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20241222-20:41:56.440] thr=2   paramiko.transport: Adding ssh-ed25519 host key for localhost: b'74eb7496e2cedf5bb043a19dcc68f534'
DEB [20241222-20:41:56.441] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com,ssh-dss,ssh-rsa,rsa-sha2-256,rsa-sha2-512', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20241222-20:41:56.739] thr=2   paramiko.transport: Trying discovered key b'921eabfd1b59d54a8f61d08725a20c03' in C:/Users/arte/.ssh/id_rsa_localhost
DEB [20241222-20:41:56.740] thr=1   paramiko.transport: userauth is OK
DEB [20241222-20:41:56.740] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20241222-20:41:56.740] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20241222-20:41:56.740] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'ssh-dss', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512']
DEB [20241222-20:41:56.740] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20241222-20:41:56.774] thr=1   paramiko.transport: Authentication (publickey) successful!
DEB [20241222-20:41:56.775] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20241222-20:41:56.819] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20241222-20:41:56.819] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
